train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.77999997	0.5714286	0.930432	0.77168367	0.3526234	0.60420042	0.09655402	-1.0	-1.0	-1.0	-1.0	17.40906811	8.0	0.0	1.0
0.74000001	0.4642857	0.93692	0.71237245	0.36919725	0.62492806	-0.01966106	-1.0	-1.0	-1.0	-1.0	31.81995916	7.0	1.0	1.0
0.80800003	0.5	0.942928	0.70790816	0.32859355	0.69266808	-0.06616348	-1.0	-1.0	-1.0	-1.0	48.79920554	8.0	2.0	1.0
0.704	0.5	0.904152	0.69770408	0.40010431	0.69853443	-0.19678662	-1.0	-1.0	-1.0	-1.0	64.34029198	6.0	3.0	1.0
0.85600001	0.6785714	0.955008	0.7684949	0.26414099	0.62239122	0.37492637	-1.0	-1.0	-1.0	-1.0	78.44952703	11.0	4.0	1.0
0.78799999	0.53571427	0.938672	0.8067602	0.33794552	0.53517181	0.0	-1.0	-1.0	-1.0	-1.0	90.73927903	8.0	5.0	1.0
0.80000001	0.64285713	0.93952	0.79783163	0.32036665	0.59285796	0.23100411	-1.0	-1.0	-1.0	-1.0	103.44160748	9.0	6.0	1.0
0.71600002	0.60714287	0.912704	0.73979592	0.39655498	0.63500202	0.07748388	-1.0	-1.0	-1.0	-1.0	115.18586183	6.0	7.0	1.0
0.80079681	0.55555558	0.94696116	0.77229081	0.3306787	0.55472618	0.0	-1.0	-1.0	-1.0	-1.0	128.82701707	8.0	8.0	1.0
0.72509962	0.51851851	0.91662037	0.7441701	0.39878345	0.5699901	0.09845441	-1.0	-1.0	-1.0	-1.0	140.22019124	6.0	9.0	1.0
