train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.53571429	1.0	0.67857143	0.0	-1.0	0.07678834	-1.0	-1.0	-1.0	-1.0	15.81085396	0.0	0.0	1.0
1.0	0.42857143	1.0	0.625	0.0	-1.0	-0.09998616	-1.0	-1.0	-1.0	-1.0	28.09637785	0.0	1.0	1.0
1.0	0.53571429	1.0	0.67857143	0.0	-1.0	0.04291509	-1.0	-1.0	-1.0	-1.0	38.86991572	0.0	2.0	1.0
1.0	0.39285714	1.0	0.59821429	0.0	-1.0	-0.09998616	-1.0	-1.0	-1.0	-1.0	50.6758256	0.0	3.0	1.0
1.0	0.5	1.0	0.66964286	0.0	-1.0	0.20783571	-1.0	-1.0	-1.0	-1.0	61.56664801	0.0	4.0	1.0
1.0	0.5	1.0	0.6875	0.0	-1.0	0.06048584	-1.0	-1.0	-1.0	-1.0	72.93806553	0.0	5.0	1.0
1.0	0.53571429	1.0	0.6875	0.0	-1.0	0.11405319	-1.0	-1.0	-1.0	-1.0	84.06039929	0.0	6.0	1.0
1.0	0.46428571	1.0	0.66071429	0.0	-1.0	0.06048584	-1.0	-1.0	-1.0	-1.0	95.66546941	0.0	7.0	1.0
1.0	0.55555556	1.0	0.7037037	0.0	-1.0	0.02293353	-1.0	-1.0	-1.0	-1.0	107.53957129	0.0	8.0	1.0
1.0	0.48148148	1.0	0.64814815	0.0	-1.0	-0.09356539	-1.0	-1.0	-1.0	-1.0	118.63779306	0.0	9.0	1.0
