train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.57142857	1.0	0.64715765	0.48106759	-1.0	0.23287671	-1.0	-1.0	-1.0	-1.0	10.90222836	0.0	0.0	1.0
1.0	0.42857143	0.99995584	0.58163255	0.48709716	-1.0	-0.0253467	-1.0	-1.0	-1.0	-1.0	21.99163365	0.0	1.0	1.0
1.0	0.42857143	1.0	0.48114644	0.47477654	-1.0	-0.13752077	-1.0	-1.0	-1.0	-1.0	32.94839072	0.0	2.0	1.0
0.996	0.42857143	0.99997792	0.51543372	0.4857063	-1.0	-0.07618663	-1.0	-1.0	-1.0	-1.0	44.71799731	0.0	3.0	1.0
1.0	0.5	1.0	0.52825658	0.4796522	-1.0	0.09628234	-1.0	-1.0	-1.0	-1.0	55.52959847	0.0	4.0	1.0
1.0	0.5	1.0	0.40467387	0.47768494	-1.0	0.06010241	-1.0	-1.0	-1.0	-1.0	67.99418592	0.0	5.0	1.0
1.0	0.64285714	1.0	0.56003694	0.48143612	-1.0	0.28111277	-1.0	-1.0	-1.0	-1.0	81.65824389	0.0	6.0	1.0
1.0	0.57142857	1.0	0.53181634	0.45786809	-1.0	0.16463	-1.0	-1.0	-1.0	-1.0	94.82569122	0.0	7.0	1.0
1.0	0.33333333	0.9999782	0.48909185	0.48510475	-1.0	-0.22933528	-1.0	-1.0	-1.0	-1.0	107.19835329	0.0	8.0	1.0
1.0	0.51851852	0.99997813	0.53333988	0.48125853	-1.0	0.11708092	-1.0	-1.0	-1.0	-1.0	118.12174654	0.0	9.0	1.0
