train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.69199997	0.53571427	0.880776	0.75063776	0.43316454	0.55255967	0.0	-1.0	-1.0	-1.0	-1.0	9.01443672	19.0	0.0	1.0
0.616	0.5714286	0.838688	0.74107143	0.48722687	0.55235922	0.0	-1.0	-1.0	-1.0	-1.0	17.11737776	8.0	1.0	1.0
0.648	0.5714286	0.859128	0.73469388	0.46175778	0.55963939	0.0	-1.0	-1.0	-1.0	-1.0	28.70764422	12.0	2.0	1.0
0.62400001	0.5714286	0.8434	0.70982143	0.48245555	0.57240874	0.0	-1.0	-1.0	-1.0	-1.0	37.92808104	8.0	3.0	1.0
0.76800001	0.6785714	0.928576	0.79145408	0.36771539	0.50217015	0.37492637	-1.0	-1.0	-1.0	-1.0	47.6213274	38.0	4.0	1.0
0.704	0.5714286	0.88332	0.8182398	0.4352434	0.48594061	0.03907738	-1.0	-1.0	-1.0	-1.0	56.2924273	19.0	5.0	1.0
0.71200001	0.64285713	0.882808	0.77614796	0.43411863	0.51999056	0.21384973	-1.0	-1.0	-1.0	-1.0	65.3188777	19.0	6.0	1.0
0.61199999	0.60714287	0.839344	0.74170918	0.48662293	0.55259806	0.0	-1.0	-1.0	-1.0	-1.0	73.39265823	8.0	7.0	1.0
0.70517927	0.55555558	0.88262091	0.77297668	0.43612605	0.5279578	-0.18665131	-1.0	-1.0	-1.0	-1.0	82.18292379	18.0	8.0	1.0
0.62948209	0.5925926	0.84174061	0.781893	0.48325598	0.51323903	0.0	-1.0	-1.0	-1.0	-1.0	90.3081758	9.0	9.0	1.0
