train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.68000001	0.60714287	0.866536	0.76721939	0.44772306	0.56241667	0.21457544	-1.0	-1.0	-1.0	-1.0	1.36592126	8.0	0.0	1.0
0.72000003	0.60714287	0.90492	0.77869898	0.38653517	0.53922987	0.24731756	-1.0	-1.0	-1.0	-1.0	2.51399612	18.0	1.0	1.0
0.704	0.4642857	0.880328	0.65369898	0.4275223	0.87146693	-0.15438145	-1.0	-1.0	-1.0	-1.0	3.424716	8.0	2.0	1.0
0.72399998	0.4642857	0.894648	0.65306122	0.40209472	0.73566234	-0.24578641	-1.0	-1.0	-1.0	-1.0	4.43889165	11.0	3.0	1.0
0.71200001	0.64285713	0.888464	0.7755102	0.4159312	0.5755682	0.28819541	-1.0	-1.0	-1.0	-1.0	5.54586458	11.0	4.0	1.0
0.704	0.5714286	0.886464	0.77742347	0.41595328	0.54120809	0.03907738	-1.0	-1.0	-1.0	-1.0	6.53350782	11.0	5.0	1.0
0.71600002	0.6785714	0.892904	0.79655612	0.40938616	0.51196492	0.31364627	-1.0	-1.0	-1.0	-1.0	7.53553367	13.0	6.0	1.0
0.676	0.5	0.871152	0.68877551	0.44023469	0.67260349	-0.05928798	-1.0	-1.0	-1.0	-1.0	8.44111943	8.0	7.0	1.0
0.69721115	0.48148149	0.87744639	0.69067215	0.43298283	0.6489079	-0.2202205	-1.0	-1.0	-1.0	-1.0	9.3257153	8.0	8.0	1.0
0.69322711	0.55555558	0.87101792	0.75720165	0.44276685	0.57860869	0.00374262	-1.0	-1.0	-1.0	-1.0	10.17365551	8.0	9.0	1.0
