train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.96634614	0.83333331	0.99258044	0.90277778	0.13289911	0.39281806	0.6761234	-1.0	-1.0	-1.0	-1.0	13.53932452	26.0	0.0	1.0
0.95673078	0.875	0.99281158	0.95138889	0.14512371	0.25614852	0.75261781	-1.0	-1.0	-1.0	-1.0	25.32997274	27.0	1.0	1.0
0.93301433	0.73913044	0.98131911	0.85606061	0.23421425	0.50849837	0.47727273	-1.0	-1.0	-1.0	-1.0	34.24419761	15.0	2.0	1.0
1.0	0.95652175	1.0	1.0	1.411e-05	0.08743658	0.91605722	-1.0	-1.0	-1.0	-1.0	154.00384903	500.0	3.0	1.0
0.93779904	0.9130435	0.98951489	0.92424242	0.21233255	0.33583608	0.83971912	-1.0	-1.0	-1.0	-1.0	164.64045668	22.0	4.0	1.0
0.96172249	0.86956519	0.99125478	0.93181818	0.14806332	0.24708855	0.74242424	-1.0	-1.0	-1.0	-1.0	175.88374591	25.0	5.0	1.0
0.92344499	0.9130435	0.98855338	0.90909091	0.21473271	0.49512631	0.82575758	-1.0	-1.0	-1.0	-1.0	184.99092317	16.0	6.0	1.0
0.94736844	0.78260869	0.98415787	0.90151515	0.21722956	0.40698838	0.56490196	-1.0	-1.0	-1.0	-1.0	194.36915493	17.0	7.0	1.0
0.93301433	0.78260869	0.98468442	0.83333333	0.2123023	0.53181112	0.56818182	-1.0	-1.0	-1.0	-1.0	203.95473289	18.0	8.0	1.0
0.93779904	0.78260869	0.98500492	0.88636364	0.21025379	0.40463334	0.58930667	-1.0	-1.0	-1.0	-1.0	213.35668969	17.0	9.0	1.0
