train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.83333333	1.0	0.85416667	0.0	-1.0	0.77459667	-1.0	-1.0	-1.0	-1.0	6.30146098	0.0	0.0	1.0
1.0	0.95833333	1.0	0.95833333	0.0	-1.0	0.91986621	-1.0	-1.0	-1.0	-1.0	11.94489503	0.0	1.0	1.0
1.0	0.73913043	1.0	0.73913043	0.0	-1.0	0.47727273	-1.0	-1.0	-1.0	-1.0	17.76257277	0.0	2.0	1.0
1.0	0.95652174	1.0	0.95652174	0.0	-1.0	0.91605722	-1.0	-1.0	-1.0	-1.0	23.41712403	0.0	3.0	1.0
1.0	0.82608696	1.0	0.82608696	0.0	-1.0	0.65151515	-1.0	-1.0	-1.0	-1.0	28.98096037	0.0	4.0	1.0
1.0	0.95652174	1.0	0.95652174	0.0	-1.0	0.91605722	-1.0	-1.0	-1.0	-1.0	34.91943479	0.0	5.0	1.0
1.0	0.91304348	1.0	0.91304348	0.0	-1.0	0.82575758	-1.0	-1.0	-1.0	-1.0	40.5887711	0.0	6.0	1.0
1.0	0.86956522	1.0	0.86956522	0.0	-1.0	0.74242424	-1.0	-1.0	-1.0	-1.0	46.25408435	0.0	7.0	1.0
1.0	0.7826087	1.0	0.7826087	0.0	-1.0	0.58930667	-1.0	-1.0	-1.0	-1.0	51.90888	0.0	8.0	1.0
1.0	0.86956522	1.0	0.86956522	0.0	-1.0	0.76764947	-1.0	-1.0	-1.0	-1.0	57.45991588	0.0	9.0	1.0
