train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.75	1.0	0.75	0.0	-1.0	0.5	-1.0	-1.0	-1.0	-1.0	6.42096233	0.0	0.0	1.0
1.0	0.79166667	1.0	0.79166667	0.0	-1.0	0.60246408	-1.0	-1.0	-1.0	-1.0	11.45910668	0.0	1.0	1.0
1.0	0.7826087	1.0	0.78409091	0.0	-1.0	0.56818182	-1.0	-1.0	-1.0	-1.0	16.32129717	0.0	2.0	1.0
1.0	0.91304348	1.0	0.91287879	0.0	-1.0	0.82575758	-1.0	-1.0	-1.0	-1.0	21.251194	0.0	3.0	1.0
1.0	0.82608696	1.0	0.82575758	0.0	-1.0	0.65151515	-1.0	-1.0	-1.0	-1.0	26.02339387	0.0	4.0	1.0
1.0	0.82608696	1.0	0.82954545	0.0	-1.0	0.66414149	-1.0	-1.0	-1.0	-1.0	30.85275078	0.0	5.0	1.0
1.0	0.86956522	1.0	0.87121212	0.0	-1.0	0.74242424	-1.0	-1.0	-1.0	-1.0	35.62972474	0.0	6.0	1.0
1.0	0.69565217	1.0	0.70075758	0.0	-1.0	0.41096386	-1.0	-1.0	-1.0	-1.0	40.42590165	0.0	7.0	1.0
1.0	0.82608696	1.0	0.8219697	0.0	-1.0	0.65909298	-1.0	-1.0	-1.0	-1.0	45.3395412	0.0	8.0	1.0
1.0	0.73913043	1.0	0.74242424	0.0	-1.0	0.48856385	-1.0	-1.0	-1.0	-1.0	50.2591033	0.0	9.0	1.0
