train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.94230771	0.79166669	0.98800388	0.91666667	0.17357992	0.39175728	0.60246408	-1.0	-1.0	-1.0	-1.0	11.37354207	107.0	0.0	1.0
0.98076922	0.875	0.99537722	0.96527778	0.13942221	0.26911864	0.75261781	-1.0	-1.0	-1.0	-1.0	24.52666879	158.0	1.0	1.0
0.9952153	0.73913044	0.99956503	0.90151515	0.08426115	0.46101037	0.48075018	-1.0	-1.0	-1.0	-1.0	41.37577868	222.0	2.0	1.0
1.0	0.95652175	1.0	0.99242424	0.02427992	0.11375309	0.91605722	-1.0	-1.0	-1.0	-1.0	72.18977165	500.0	3.0	1.0
0.93779904	0.9130435	0.98463863	0.93181818	0.20510298	0.29934207	0.83971912	-1.0	-1.0	-1.0	-1.0	81.93712831	85.0	4.0	1.0
0.98564595	0.95652175	0.99686362	0.96212121	0.12787353	0.22093128	0.91666667	-1.0	-1.0	-1.0	-1.0	96.03877568	169.0	5.0	1.0
0.88995218	0.9130435	0.97003274	0.89393939	0.30163431	0.42811784	0.82575758	-1.0	-1.0	-1.0	-1.0	103.38199759	33.0	6.0	1.0
0.91866028	0.82608694	0.9755729	0.92424242	0.26248762	0.36312541	0.65151515	-1.0	-1.0	-1.0	-1.0	111.51253819	50.0	7.0	1.0
0.88516748	0.82608694	0.96657586	0.78030303	0.29366314	0.54955232	0.66414149	-1.0	-1.0	-1.0	-1.0	118.67963409	35.0	8.0	1.0
0.91866028	0.78260869	0.97767908	0.91666667	0.25214961	0.39234173	0.58930667	-1.0	-1.0	-1.0	-1.0	126.9797101	52.0	9.0	1.0
