train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.89423078	0.79166669	0.97185882	0.85416667	0.29458204	0.47936955	0.60246408	-1.0	-1.0	-1.0	-1.0	1.63988733	20.0	0.0	1.0
0.86057693	0.75	0.9624399	0.91666667	0.33016008	0.40267774	0.50709255	-1.0	-1.0	-1.0	-1.0	2.90713143	16.0	1.0	1.0
0.86124402	0.56521738	0.96060072	0.68939394	0.35487631	0.68235862	0.12878788	-1.0	-1.0	-1.0	-1.0	3.88046026	9.0	2.0	1.0
0.94258374	0.9130435	0.99116321	1.0	0.17364529	0.21303512	0.83971912	-1.0	-1.0	-1.0	-1.0	8.6768918	88.0	3.0	1.0
0.87559807	0.82608694	0.96765184	0.93939394	0.32000771	0.33037141	0.66414149	-1.0	-1.0	-1.0	-1.0	9.96718097	17.0	4.0	1.0
0.90909094	0.95652175	0.98353975	0.98484848	0.22799319	0.19422731	0.91666667	-1.0	-1.0	-1.0	-1.0	13.24141669	52.0	5.0	1.0
0.84210527	0.78260869	0.95293148	0.88636364	0.37517726	0.56861299	0.56490196	-1.0	-1.0	-1.0	-1.0	14.21182227	9.0	6.0	1.0
0.86124402	0.73913044	0.95979946	0.82575758	0.34175974	0.51943451	0.48075018	-1.0	-1.0	-1.0	-1.0	15.39488721	13.0	7.0	1.0
0.84688997	0.69565219	0.95673176	0.72727273	0.35179898	0.72977573	0.41096386	-1.0	-1.0	-1.0	-1.0	16.35855365	10.0	8.0	1.0
0.86124402	0.73913044	0.96108148	0.84848485	0.3394855	0.48929042	0.47727273	-1.0	-1.0	-1.0	-1.0	17.3841989	12.0	9.0	1.0
