train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.80000001	0.33333334	0.9460355	0.56444444	0.42002979	0.6756981	0.0	-1.0	-1.0	-1.0	-1.0	6.86836863	8.0	0.0	1.0
0.77692306	0.33333334	0.95186391	0.51111111	0.41521248	0.73695689	0.0	-1.0	-1.0	-1.0	-1.0	11.54384279	8.0	1.0	1.0
0.81538463	0.40000001	0.96295858	0.54888889	0.3836019	0.7283479	0.05905386	-1.0	-1.0	-1.0	-1.0	15.97628474	9.0	2.0	1.0
0.87692308	0.40000001	0.98014793	0.56222222	0.34108481	0.70246798	0.08219949	-1.0	-1.0	-1.0	-1.0	20.75739121	10.0	3.0	1.0
0.96923077	0.53333336	0.99890533	0.74444444	0.22655416	0.68990809	0.3082481	-1.0	-1.0	-1.0	-1.0	26.05772448	13.0	4.0	1.0
0.80152673	0.35714287	0.96060836	0.57908163	0.38907334	0.70827377	0.01601282	-1.0	-1.0	-1.0	-1.0	30.91291022	9.0	5.0	1.0
0.96183205	0.5	0.99924247	0.66326531	0.18990247	0.67166811	0.28258907	-1.0	-1.0	-1.0	-1.0	37.22872806	15.0	6.0	1.0
0.89312977	0.2857143	0.99402715	0.61734694	0.27729291	0.65318352	-0.07752171	-1.0	-1.0	-1.0	-1.0	42.22318506	12.0	7.0	1.0
0.82442749	0.5	0.96663947	0.61479592	0.37000114	0.65124786	0.24615582	-1.0	-1.0	-1.0	-1.0	46.81203103	9.0	8.0	1.0
0.81679392	0.14285715	0.96270614	0.32908163	0.3949348	0.78237194	-0.29230769	-1.0	-1.0	-1.0	-1.0	51.10945201	8.0	9.0	1.0
