train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.06666667	1.0	0.51666667	0.0	-1.0	0.16666667	-1.0	-1.0	-1.0	-1.0	3.81668997	0.0	0.0	1.0
1.0	0.06666667	1.0	0.48333333	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	7.39139056	0.0	1.0	1.0
1.0	0.06666667	1.0	0.53333333	0.0	-1.0	0.21747942	-1.0	-1.0	-1.0	-1.0	11.01006627	0.0	2.0	1.0
1.0	0.0	1.0	0.5	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	14.40357399	0.0	3.0	1.0
1.0	0.06666667	1.0	0.53333333	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	17.90281177	0.0	4.0	1.0
1.0	0.0	1.0	0.5	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	21.25740719	0.0	5.0	1.0
1.0	0.14285714	1.0	0.57142857	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	24.63337922	0.0	6.0	1.0
1.0	0.07142857	1.0	0.53571429	0.0	-1.0	0.2236068	-1.0	-1.0	-1.0	-1.0	27.99562764	0.0	7.0	1.0
1.0	0.14285714	1.0	0.57142857	0.0	-1.0	0.32249031	-1.0	-1.0	-1.0	-1.0	31.39179158	0.0	8.0	1.0
1.0	0.0	1.0	0.46428571	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	34.72103429	0.0	9.0	1.0
