train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.46666667	1.0	0.66666667	0.50154747	-1.0	0.21821789	-1.0	-1.0	-1.0	-1.0	2.80135298	0.0	0.0	1.0
1.0	0.4	1.0	0.50666667	0.5022317	-1.0	0.10206207	-1.0	-1.0	-1.0	-1.0	5.61189985	0.0	1.0	1.0
1.0	0.26666667	1.0	0.42463524	0.50891092	-1.0	-0.11726648	-1.0	-1.0	-1.0	-1.0	8.2885406	0.0	2.0	1.0
1.0	0.4	1.0	0.49552189	0.49799259	-1.0	0.07753403	-1.0	-1.0	-1.0	-1.0	11.22110558	0.0	3.0	1.0
1.0	0.46666667	1.0	0.59911336	0.4968702	-1.0	0.2044079	-1.0	-1.0	-1.0	-1.0	14.10675573	0.0	4.0	1.0
1.0	0.28571429	1.0	0.55925926	0.50213498	-1.0	-0.10871146	-1.0	-1.0	-1.0	-1.0	16.96920586	0.0	5.0	1.0
1.0	0.28571429	1.0	0.6462963	0.50457318	-1.0	-0.04342084	-1.0	-1.0	-1.0	-1.0	20.1804018	0.0	6.0	1.0
1.0	0.5	1.0	0.63055556	0.5002547	-1.0	0.27791786	-1.0	-1.0	-1.0	-1.0	22.67034292	0.0	7.0	1.0
1.0	0.42857143	1.0	0.57685185	0.50344531	-1.0	0.13259871	-1.0	-1.0	-1.0	-1.0	25.66948867	0.0	8.0	1.0
1.0	0.28571429	1.0	0.58148148	0.5060317	-1.0	-0.09944903	-1.0	-1.0	-1.0	-1.0	28.13443613	0.0	9.0	1.0
