train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.80769229	0.46666667	0.95923077	0.63111111	0.44940385	0.60362554	0.20412415	-1.0	-1.0	-1.0	-1.0	7.13772988	32.0	0.0	1.0
0.73846155	0.33333334	0.91828402	0.61111111	0.50875491	0.6288057	0.0	-1.0	-1.0	-1.0	-1.0	13.37198615	18.0	1.0	1.0
0.73076922	0.53333336	0.90943787	0.58	0.55076873	0.62599409	0.31369453	-1.0	-1.0	-1.0	-1.0	18.42518926	12.0	2.0	1.0
0.83076924	0.33333334	0.94505917	0.61111111	0.47882673	0.62030041	-0.02759211	-1.0	-1.0	-1.0	-1.0	23.94159102	24.0	3.0	1.0
0.86153847	0.46666667	0.97210059	0.71777778	0.41799301	0.59557354	0.23610007	-1.0	-1.0	-1.0	-1.0	30.00697517	39.0	4.0	1.0
0.74045801	0.5	0.91623449	0.56122449	0.53482097	0.63600129	0.24615385	-1.0	-1.0	-1.0	-1.0	35.03477049	14.0	5.0	1.0
0.90839696	0.5714286	0.98380048	0.71428571	0.36019441	0.57194519	0.3721042	-1.0	-1.0	-1.0	-1.0	41.93318844	59.0	6.0	1.0
0.90076333	0.42857143	0.97957578	0.71428571	0.37803668	0.57210284	0.14615385	-1.0	-1.0	-1.0	-1.0	48.68662834	52.0	7.0	1.0
0.83206105	0.5714286	0.96567799	0.66071429	0.4114238	0.61762488	0.35160542	-1.0	-1.0	-1.0	-1.0	54.77033448	40.0	8.0	1.0
0.69465649	0.2857143	0.8837189	0.31122449	0.57183826	0.67246813	-0.12294828	-1.0	-1.0	-1.0	-1.0	59.36354303	8.0	9.0	1.0
