train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.74615383	0.40000001	0.89553254	0.58444444	0.45033935	0.64908636	0.10067341	-1.0	-1.0	-1.0	-1.0	1.71655631	13.0	0.0	1.0
0.75384617	0.40000001	0.94150888	0.63333333	0.37825635	0.62696201	0.10502101	-1.0	-1.0	-1.0	-1.0	3.18202806	23.0	1.0	1.0
0.7846154	0.53333336	0.93053254	0.73111111	0.40378109	0.53250051	0.28899049	-1.0	-1.0	-1.0	-1.0	4.54958606	19.0	2.0	1.0
0.75384617	0.33333334	0.90846154	0.49555556	0.4280906	0.75637543	-0.02146364	-1.0	-1.0	-1.0	-1.0	5.5927422	13.0	3.0	1.0
0.79230767	0.40000001	0.94014793	0.66666667	0.38144872	0.66480052	0.11726648	-1.0	-1.0	-1.0	-1.0	6.92422605	20.0	4.0	1.0
0.74045801	0.35714287	0.89618903	0.56887755	0.44638667	0.89532429	0.02344036	-1.0	-1.0	-1.0	-1.0	8.06333232	12.0	5.0	1.0
0.85496181	0.64285713	0.95629625	0.80867347	0.35780746	0.49636415	0.48443414	-1.0	-1.0	-1.0	-1.0	9.66949534	27.0	6.0	1.0
0.72519082	0.5	0.87320086	0.63520408	0.48104131	0.61713737	0.24862258	-1.0	-1.0	-1.0	-1.0	10.57494426	10.0	7.0	1.0
0.71755725	0.21428572	0.89374162	0.47193878	0.44861045	0.69533473	-0.2081666	-1.0	-1.0	-1.0	-1.0	11.57340765	12.0	8.0	1.0
0.69465649	0.21428572	0.86789814	0.30357143	0.48906422	0.87453234	-0.19889806	-1.0	-1.0	-1.0	-1.0	12.48800778	8.0	9.0	1.0
