train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.97500002	0.42857143	0.99988426	0.72959184	0.16275229	0.54234356	0.15655607	-1.0	-1.0	-1.0	-1.0	6.50007963	10.0	0.0	1.0
0.875	0.35714287	0.99541667	0.62414966	0.23630397	0.61915392	0.03052338	-1.0	-1.0	-1.0	-1.0	10.9849298	8.0	1.0	1.0
1.0	0.64285713	1.0	0.8452381	0.12243152	0.4604362	0.50734038	-1.0	-1.0	-1.0	-1.0	16.05335522	12.0	2.0	1.0
0.92500001	0.2857143	0.99800926	0.65306122	0.22164036	0.56988752	-0.06216699	-1.0	-1.0	-1.0	-1.0	20.7308383	8.0	3.0	1.0
0.96694213	0.61538464	1.0	0.78500986	0.18497828	0.5241611	0.46839046	-1.0	-1.0	-1.0	-1.0	25.20755529	9.0	4.0	1.0
0.87603307	0.53846157	0.9964028	0.70414201	0.22680719	0.58922189	0.33146165	-1.0	-1.0	-1.0	-1.0	29.76745868	8.0	5.0	1.0
0.99173552	0.46153846	1.0	0.7357002	0.12748507	0.58428878	0.22093791	-1.0	-1.0	-1.0	-1.0	34.61921716	11.0	6.0	1.0
1.0	0.46153846	1.0	0.83431953	0.03390754	0.47241795	0.30498138	-1.0	-1.0	-1.0	-1.0	40.57289672	18.0	7.0	1.0
0.91735536	0.46153846	0.99519614	0.65483235	0.23010007	0.62192225	0.20817277	-1.0	-1.0	-1.0	-1.0	45.03119135	8.0	8.0	1.0
0.95041323	0.23076923	0.99913485	0.63905325	0.21618964	0.60397303	-0.13166002	-1.0	-1.0	-1.0	-1.0	49.34216094	8.0	9.0	1.0
