train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.14285714	1.0	0.55952381	0.0	-1.0	0.23543548	-1.0	-1.0	-1.0	-1.0	3.82067347	0.0	0.0	1.0
1.0	0.14285714	1.0	0.53571429	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	7.35570073	0.0	1.0	1.0
1.0	0.21428571	1.0	0.58333333	0.0	-1.0	0.44008623	-1.0	-1.0	-1.0	-1.0	10.99235487	0.0	2.0	1.0
1.0	0.07142857	1.0	0.53571429	0.0	-1.0	0.2337232	-1.0	-1.0	-1.0	-1.0	14.46387339	0.0	3.0	1.0
1.0	0.30769231	1.0	0.65384615	0.0	-1.0	0.47155956	-1.0	-1.0	-1.0	-1.0	17.82546401	0.0	4.0	1.0
1.0	0.23076923	1.0	0.6025641	0.0	-1.0	0.34465245	-1.0	-1.0	-1.0	-1.0	21.12867594	0.0	5.0	1.0
1.0	0.23076923	1.0	0.61538462	0.0	-1.0	0.38858917	-1.0	-1.0	-1.0	-1.0	24.49766469	0.0	6.0	1.0
1.0	0.15384615	1.0	0.57692308	0.0	-1.0	0.33307643	-1.0	-1.0	-1.0	-1.0	28.05794096	0.0	7.0	1.0
1.0	0.15384615	1.0	0.56410256	0.0	-1.0	0.11884567	-1.0	-1.0	-1.0	-1.0	31.57365584	0.0	8.0	1.0
1.0	0.0	1.0	0.47435897	0.0	-1.0	-0.26307611	-1.0	-1.0	-1.0	-1.0	35.03348255	0.0	9.0	1.0
