train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.42857143	1.0	0.68570319	0.63924437	-1.0	0.15655607	-1.0	-1.0	-1.0	-1.0	3.09638596	0.0	0.0	1.0
1.0	0.28571429	1.0	0.50277778	0.65072012	-1.0	-0.04589668	-1.0	-1.0	-1.0	-1.0	6.17224097	0.0	1.0	1.0
1.0	0.57142857	1.0	0.6875	0.64619137	-1.0	0.39305264	-1.0	-1.0	-1.0	-1.0	8.65349579	0.0	2.0	1.0
1.0	0.21428571	1.0	0.43263889	0.63972029	-1.0	-0.0942029	-1.0	-1.0	-1.0	-1.0	11.47698927	0.0	3.0	1.0
1.0	0.46153846	1.0	0.58390152	0.64712516	-1.0	0.25116377	-1.0	-1.0	-1.0	-1.0	14.66581273	0.0	4.0	1.0
1.0	0.38461538	1.0	0.74722222	0.64545266	-1.0	0.11623834	-1.0	-1.0	-1.0	-1.0	17.70027399	0.0	5.0	1.0
1.0	0.46153846	1.0	0.53958333	0.63757815	-1.0	0.23728814	-1.0	-1.0	-1.0	-1.0	20.59919453	0.0	6.0	1.0
1.0	0.38461538	1.0	0.74791667	0.65046828	-1.0	0.09655068	-1.0	-1.0	-1.0	-1.0	23.4609797	0.0	7.0	1.0
1.0	0.46153846	1.0	0.42708333	0.64609721	-1.0	0.21459387	-1.0	-1.0	-1.0	-1.0	26.46059775	0.0	8.0	1.0
1.0	0.30769231	1.0	0.45902778	0.63835356	-1.0	0.02586591	-1.0	-1.0	-1.0	-1.0	29.29165983	0.0	9.0	1.0
