train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.85000002	0.5	0.97986111	0.74319728	0.29797098	0.48164463	0.24504901	-1.0	-1.0	-1.0	-1.0	4.83388615	33.0	0.0	1.0
0.65833336	0.35714287	0.86831019	0.66836735	0.43948469	0.53982586	0.0	-1.0	-1.0	-1.0	-1.0	7.92440629	9.0	1.0	1.0
0.94166666	0.64285713	0.99627315	0.84353741	0.23456106	0.41394895	0.50734038	-1.0	-1.0	-1.0	-1.0	12.80034471	53.0	2.0	1.0
0.67500001	0.5	0.86974537	0.68707483	0.43361774	0.51579517	0.24326682	-1.0	-1.0	-1.0	-1.0	16.06441379	10.0	3.0	1.0
0.86776859	0.61538464	0.97987387	0.81065089	0.30474237	0.45161673	0.43047302	-1.0	-1.0	-1.0	-1.0	20.09616065	31.0	4.0	1.0
0.74380165	0.53846157	0.94223983	0.7061144	0.35639828	0.51325029	0.33146165	-1.0	-1.0	-1.0	-1.0	23.77786517	21.0	5.0	1.0
0.82644629	0.61538464	0.97418209	0.75147929	0.31132156	0.50013387	0.48373984	-1.0	-1.0	-1.0	-1.0	27.59715581	29.0	6.0	1.0
1.0	0.53846157	1.0	0.84220907	0.06840244	0.41416362	0.39461416	-1.0	-1.0	-1.0	-1.0	38.00951195	190.0	7.0	1.0
0.66942149	0.46153846	0.9050839	0.67455621	0.40079841	0.53276801	0.18443429	-1.0	-1.0	-1.0	-1.0	41.37789631	14.0	8.0	1.0
0.6859504	0.46153846	0.91949548	0.7061144	0.3854157	0.51303887	0.23867967	-1.0	-1.0	-1.0	-1.0	44.76564527	16.0	9.0	1.0
