train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.79166669	0.5	0.96550926	0.73809524	0.32443056	0.48859581	0.24504901	-1.0	-1.0	-1.0	-1.0	6.92688847	29.0	0.0	1.0
0.64999998	0.35714287	0.87416667	0.66326531	0.43476561	0.54132527	0.0	-1.0	-1.0	-1.0	-1.0	11.54421782	10.0	1.0	1.0
0.89999998	0.5714286	0.99050926	0.82823129	0.25997642	0.42439264	0.40457739	-1.0	-1.0	-1.0	-1.0	17.99931455	48.0	2.0	1.0
0.64999998	0.42857143	0.86412037	0.67517007	0.43673986	0.52092332	0.12038585	-1.0	-1.0	-1.0	-1.0	22.76968455	10.0	3.0	1.0
0.85123968	0.61538464	0.97561642	0.80670611	0.31111845	0.45043749	0.43047302	-1.0	-1.0	-1.0	-1.0	28.31127977	32.0	4.0	1.0
0.73553717	0.53846157	0.93855156	0.70216963	0.35857448	0.51365024	0.33146165	-1.0	-1.0	-1.0	-1.0	33.73656845	22.0	5.0	1.0
0.80991733	0.53846157	0.96612253	0.74161736	0.32451698	0.50372064	0.34993946	-1.0	-1.0	-1.0	-1.0	39.29802346	28.0	6.0	1.0
1.0	0.30769232	1.0	0.77317554	0.11777087	0.45316362	-0.00959765	-1.0	-1.0	-1.0	-1.0	49.19241524	132.0	7.0	1.0
0.65289259	0.46153846	0.89763905	0.67258383	0.40618241	0.53334904	0.18443429	-1.0	-1.0	-1.0	-1.0	54.06019783	14.0	8.0	1.0
0.64462811	0.46153846	0.91139039	0.7199211	0.39161459	0.5107218	0.23867967	-1.0	-1.0	-1.0	-1.0	58.89352226	16.0	9.0	1.0
