train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.80833334	0.35714287	0.97935185	0.67176871	0.2477525	0.7078709	0.04696682	-1.0	-1.0	-1.0	-1.0	1.75269604	17.0	0.0	1.0
0.83333331	0.35714287	0.97386574	0.53741497	0.2710954	0.71149892	0.05057217	-1.0	-1.0	-1.0	-1.0	2.8278594	13.0	1.0	1.0
0.90833336	0.5	0.99310185	0.78911565	0.20994487	0.49770355	0.28657565	-1.0	-1.0	-1.0	-1.0	4.29603791	24.0	2.0	1.0
0.80000001	0.2857143	0.97685185	0.57312925	0.24885465	0.62683356	-0.01504823	-1.0	-1.0	-1.0	-1.0	5.42711544	17.0	3.0	1.0
0.80991733	0.61538464	0.97035722	0.78895464	0.27608371	0.5506165	0.42863978	-1.0	-1.0	-1.0	-1.0	6.50247788	14.0	4.0	1.0
0.80165291	0.53846157	0.96159188	0.68244576	0.28817171	0.58318275	0.32141736	-1.0	-1.0	-1.0	-1.0	7.6459949	13.0	5.0	1.0
0.81818181	0.30769232	0.9711313	0.64299803	0.26951149	0.61318409	-0.02708093	-1.0	-1.0	-1.0	-1.0	8.73238087	14.0	6.0	1.0
0.85123968	0.53846157	0.97859891	0.64497041	0.25708866	0.69602233	0.33898305	-1.0	-1.0	-1.0	-1.0	9.77208591	16.0	7.0	1.0
0.80991733	0.38461539	0.971063	0.60552268	0.27138999	0.80776727	0.09115047	-1.0	-1.0	-1.0	-1.0	10.8662014	14.0	8.0	1.0
0.88429755	0.61538464	0.9914168	0.79881657	0.22449751	0.48043638	0.43267007	-1.0	-1.0	-1.0	-1.0	12.03723669	22.0	9.0	1.0
