train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.96153843	0.88	0.99480969	0.92881944	0.11504053	0.43987939	0.73958333	-1.0	-1.0	-1.0	-1.0	20.98166871	18.0	0.0	1.0
0.97285068	0.88	0.998188	0.92361111	0.10063288	0.3417078	0.73868038	-1.0	-1.0	-1.0	-1.0	39.87670016	19.0	1.0	1.0
0.85778779	0.75510204	0.96798965	0.82169118	0.31402761	0.47108284	0.47589265	-1.0	-1.0	-1.0	-1.0	54.3673861	10.0	2.0	1.0
0.979684	0.85714287	0.99875159	0.92647059	0.07443274	0.41533497	0.68104601	-1.0	-1.0	-1.0	-1.0	75.1829915	24.0	3.0	1.0
0.89164788	0.73469388	0.98090181	0.85845588	0.24539059	0.53628367	0.48659733	-1.0	-1.0	-1.0	-1.0	90.01265025	9.0	4.0	1.0
0.99322802	0.89795917	0.99968917	0.91911765	0.05448413	0.41964075	0.77864723	-1.0	-1.0	-1.0	-1.0	113.99503875	28.0	5.0	1.0
0.91873592	0.81632656	0.98933498	0.88602941	0.19998445	0.53049779	0.60077444	-1.0	-1.0	-1.0	-1.0	130.35858321	13.0	6.0	1.0
0.9751693	0.79591835	0.9951745	0.91360294	0.09681673	0.56544936	0.60312649	-1.0	-1.0	-1.0	-1.0	151.99997377	23.0	7.0	1.0
0.93679458	0.89795917	0.99487386	0.96139706	0.15635528	0.25006631	0.77864723	-1.0	-1.0	-1.0	-1.0	170.89485478	16.0	8.0	1.0
0.99774265	0.87755102	0.99997452	0.97849462	0.01916302	0.37862942	0.75905128	-1.0	-1.0	-1.0	-1.0	203.45994234	44.0	9.0	1.0
