train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.94796377	0.77999997	0.99365799	0.91319444	0.16264474	0.42243466	0.5053565	-1.0	-1.0	-1.0	-1.0	17.20223355	88.0	0.0	1.0
0.98416287	0.86000001	0.99864868	0.94444444	0.10152949	0.31399623	0.69534015	-1.0	-1.0	-1.0	-1.0	38.27421403	173.0	1.0	1.0
0.9300226	0.85714287	0.98580375	0.86029412	0.20904715	0.41556147	0.68163812	-1.0	-1.0	-1.0	-1.0	51.57026482	58.0	2.0	1.0
0.97742665	0.87755102	0.9975847	0.9375	0.11033957	0.31853145	0.72977941	-1.0	-1.0	-1.0	-1.0	73.52229095	152.0	3.0	1.0
0.9006772	0.71428573	0.96739856	0.85294118	0.28592488	0.45627674	0.3878974	-1.0	-1.0	-1.0	-1.0	85.19761825	28.0	4.0	1.0
0.92325056	0.89795917	0.99002797	0.95588235	0.18937281	0.27719107	0.77864723	-1.0	-1.0	-1.0	-1.0	99.30758262	76.0	5.0	1.0
0.9051919	0.79591835	0.97462917	0.88786765	0.26109275	0.45161968	0.53312605	-1.0	-1.0	-1.0	-1.0	112.10396743	37.0	6.0	1.0
0.96388263	0.83673471	0.9970089	0.93933824	0.13463326	0.2849656	0.63970588	-1.0	-1.0	-1.0	-1.0	129.41343808	118.0	7.0	1.0
0.94808125	0.87755102	0.99477704	0.97058824	0.15773998	0.23005639	0.72523512	-1.0	-1.0	-1.0	-1.0	145.26693249	102.0	8.0	1.0
0.98419863	0.93877554	0.99939363	0.98387097	0.08815686	0.14274938	0.86758363	-1.0	-1.0	-1.0	-1.0	168.20930076	205.0	9.0	1.0
