train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.8	1.0	0.8	0.0	-1.0	0.55308229	-1.0	-1.0	-1.0	-1.0	10.72463608	0.0	0.0	1.0
1.0	0.86	1.0	0.86	0.0	-1.0	0.69534015	-1.0	-1.0	-1.0	-1.0	21.25355268	0.0	1.0	1.0
1.0	0.85714286	1.0	0.85714286	0.0	-1.0	0.69473347	-1.0	-1.0	-1.0	-1.0	31.65276861	0.0	2.0	1.0
1.0	0.7755102	1.0	0.7755102	0.0	-1.0	0.48197135	-1.0	-1.0	-1.0	-1.0	41.92507958	0.0	3.0	1.0
1.0	0.7755102	1.0	0.7755102	0.0	-1.0	0.49818982	-1.0	-1.0	-1.0	-1.0	52.22932267	0.0	4.0	1.0
1.0	0.93877551	1.0	0.93877551	0.0	-1.0	0.86758363	-1.0	-1.0	-1.0	-1.0	62.89916992	0.0	5.0	1.0
1.0	0.87755102	1.0	0.87755102	0.0	-1.0	0.72523512	-1.0	-1.0	-1.0	-1.0	73.26631713	0.0	6.0	1.0
1.0	0.93877551	1.0	0.93877551	0.0	-1.0	0.8639022	-1.0	-1.0	-1.0	-1.0	83.93160629	0.0	7.0	1.0
1.0	0.89795918	1.0	0.89795918	0.0	-1.0	0.78134042	-1.0	-1.0	-1.0	-1.0	94.44055605	0.0	8.0	1.0
1.0	0.95918367	1.0	0.95918367	0.0	-1.0	0.91218638	-1.0	-1.0	-1.0	-1.0	105.12092805	0.0	9.0	1.0
