train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.99547511	0.86	0.99503203	0.84201389	0.15628587	-1.0	0.69311221	-1.0	-1.0	-1.0	-1.0	10.54388237	0.0	0.0	1.0
0.98868778	0.78	0.98832191	0.74305556	0.39071557	-1.0	0.50917508	-1.0	-1.0	-1.0	-1.0	21.82667565	0.0	1.0	1.0
0.99548533	0.7755102	0.99505271	0.73161765	0.15593308	-1.0	0.48809353	-1.0	-1.0	-1.0	-1.0	32.93868232	0.0	2.0	1.0
0.99097065	0.81632653	0.98864246	0.79044118	0.31186435	-1.0	0.58961792	-1.0	-1.0	-1.0	-1.0	43.9174931	0.0	3.0	1.0
0.99548533	0.81632653	0.99505271	0.81801471	0.15593308	-1.0	0.61597438	-1.0	-1.0	-1.0	-1.0	55.24753237	0.0	4.0	1.0
0.99097065	0.81632653	0.99156839	0.83180147	0.31186796	-1.0	0.63505966	-1.0	-1.0	-1.0	-1.0	65.88328791	0.0	5.0	1.0
0.99097065	0.85714286	0.99010542	0.86305147	0.31186615	-1.0	0.70320775	-1.0	-1.0	-1.0	-1.0	75.91643119	0.0	6.0	1.0
0.99322799	0.83673469	0.99331055	0.83363971	0.23390052	-1.0	0.65188314	-1.0	-1.0	-1.0	-1.0	85.65733123	0.0	7.0	1.0
0.99322799	0.83673469	0.99331055	0.79227941	0.23390052	-1.0	0.63023823	-1.0	-1.0	-1.0	-1.0	95.74845099	0.0	8.0	1.0
0.98645598	0.87755102	0.98660394	0.86827957	0.46780103	-1.0	0.73655914	-1.0	-1.0	-1.0	-1.0	105.62705922	0.0	9.0	1.0
