train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.93665159	0.80000001	0.99134948	0.91145833	0.17847158	0.42786533	0.55414661	-1.0	-1.0	-1.0	-1.0	19.03401828	79.0	0.0	1.0
0.97511309	0.86000001	0.99767613	0.93923611	0.11338096	0.32746917	0.69534015	-1.0	-1.0	-1.0	-1.0	43.83727741	161.0	1.0	1.0
0.92325056	0.87755102	0.98286361	0.86029412	0.22261181	0.41457146	0.73816776	-1.0	-1.0	-1.0	-1.0	60.46784496	53.0	2.0	1.0
0.96839732	0.87755102	0.99704457	0.9375	0.11687643	0.32155237	0.72977941	-1.0	-1.0	-1.0	-1.0	84.95624042	150.0	3.0	1.0
0.89616251	0.71428573	0.96584441	0.84558824	0.29158807	0.46266374	0.3878974	-1.0	-1.0	-1.0	-1.0	99.37074995	27.0	4.0	1.0
0.91647857	0.89795917	0.98780121	0.95036765	0.20099184	0.28386033	0.77864723	-1.0	-1.0	-1.0	-1.0	117.6586237	71.0	5.0	1.0
0.90970653	0.81632656	0.9752865	0.88786765	0.25582564	0.45310479	0.58300061	-1.0	-1.0	-1.0	-1.0	132.95647669	40.0	6.0	1.0
0.96162528	0.83673471	0.99596431	0.93382353	0.1446199	0.29268721	0.63970588	-1.0	-1.0	-1.0	-1.0	154.1030612	112.0	7.0	1.0
0.94130927	0.87755102	0.99393627	0.97058824	0.16279197	0.22883937	0.72523512	-1.0	-1.0	-1.0	-1.0	174.13647699	102.0	8.0	1.0
0.979684	0.93877554	0.99902675	0.9874552	0.09453821	0.14628132	0.87061664	-1.0	-1.0	-1.0	-1.0	202.84596205	204.0	9.0	1.0
