train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.95701355	0.89999998	0.99561332	0.90104167	0.12556687	0.39373779	0.78631505	-1.0	-1.0	-1.0	-1.0	5.48803902	74.0	0.0	1.0
0.93438911	0.75999999	0.98702422	0.92361111	0.19005547	0.32926774	0.46804822	-1.0	-1.0	-1.0	-1.0	8.26262403	39.0	1.0	1.0
0.87810385	0.77551019	0.96157942	0.83823529	0.31592903	0.47382075	0.54886043	-1.0	-1.0	-1.0	-1.0	9.54289818	11.0	2.0	1.0
0.91422123	0.77551019	0.98139608	0.87867647	0.22626801	0.42535859	0.49818982	-1.0	-1.0	-1.0	-1.0	11.40093279	23.0	3.0	1.0
0.97742665	0.85714287	0.99857834	0.95955882	0.0791114	0.34611541	0.70320775	-1.0	-1.0	-1.0	-1.0	20.34610415	144.0	4.0	1.0
0.95711058	0.85714287	0.99530698	0.96139706	0.13324648	0.2866587	0.7212589	-1.0	-1.0	-1.0	-1.0	25.44359088	81.0	5.0	1.0
0.86455983	0.83673471	0.95588767	0.88051471	0.33128029	0.55257142	0.66834959	-1.0	-1.0	-1.0	-1.0	26.49838448	9.0	6.0	1.0
0.92776525	0.91836733	0.98702669	0.94301471	0.19120958	0.25989076	0.81985294	-1.0	-1.0	-1.0	-1.0	29.30200219	42.0	7.0	1.0
0.88713318	0.87755102	0.971954	0.93933824	0.26996711	0.29516497	0.72977941	-1.0	-1.0	-1.0	-1.0	30.93636441	17.0	8.0	1.0
0.89841986	0.89795917	0.97322279	0.95698925	0.26362765	0.28349608	0.81017374	-1.0	-1.0	-1.0	-1.0	32.61752152	19.0	9.0	1.0
