train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.78527606	0.7027027	0.9162652	0.78235294	0.45148769	0.59617549	0.41470588	-1.0	-1.0	-1.0	-1.0	24.42031813	21.0	0.0	1.0
0.73926383	0.48648649	0.86225488	0.60882353	0.534958	0.67217982	-0.02058824	-1.0	-1.0	-1.0	-1.0	41.5012002	11.0	1.0	1.0
0.98466259	0.62162161	0.99924724	0.69117647	0.11253462	0.80114537	0.23027379	-1.0	-1.0	-1.0	-1.0	80.86765862	57.0	2.0	1.0
0.79510701	0.66666669	0.86384423	0.6996904	0.42752898	0.90051037	0.34798974	-1.0	-1.0	-1.0	-1.0	104.59595156	27.0	3.0	1.0
0.74006116	0.6111111	0.84445754	0.6996904	0.51476669	0.67083329	0.24777294	-1.0	-1.0	-1.0	-1.0	121.9130187	13.0	4.0	1.0
0.8440367	0.6111111	0.88837453	0.72755418	0.32006386	0.914931	0.28912165	-1.0	-1.0	-1.0	-1.0	150.5739572	35.0	5.0	1.0
0.71253824	0.58333331	0.85108811	0.62848297	0.57537198	0.72232151	0.16692447	-1.0	-1.0	-1.0	-1.0	167.60017419	8.0	6.0	1.0
0.73394495	0.6111111	0.86361043	0.69659443	0.54814321	0.69893301	0.26506933	-1.0	-1.0	-1.0	-1.0	185.84230971	11.0	7.0	1.0
0.71865445	0.55555558	0.85507206	0.56965944	0.56754792	0.74698156	0.13193104	-1.0	-1.0	-1.0	-1.0	201.24353909	8.0	8.0	1.0
1.0	0.83333331	1.0	0.89241486	0.04593256	0.87871206	0.67182663	-1.0	-1.0	-1.0	-1.0	246.67582083	69.0	9.0	1.0
