train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.7027027	1.0	0.7027027	0.0	-1.0	0.39893904	-1.0	-1.0	-1.0	-1.0	13.14176679	0.0	0.0	1.0
1.0	0.64864865	1.0	0.64864865	0.0	-1.0	0.28711522	-1.0	-1.0	-1.0	-1.0	25.09942579	0.0	1.0	1.0
1.0	0.62162162	1.0	0.62162162	0.0	-1.0	0.2308926	-1.0	-1.0	-1.0	-1.0	36.54639244	0.0	2.0	1.0
1.0	0.77777778	1.0	0.79166667	0.0	-1.0	0.61205637	-1.0	-1.0	-1.0	-1.0	50.54632235	0.0	3.0	1.0
1.0	0.61111111	1.0	0.61111111	0.0	-1.0	0.21559463	-1.0	-1.0	-1.0	-1.0	65.58835149	0.0	4.0	1.0
1.0	0.75	1.0	0.75	0.0	-1.0	0.4976726	-1.0	-1.0	-1.0	-1.0	78.88006663	0.0	5.0	1.0
1.0	0.61111111	1.0	0.61111111	0.0	-1.0	0.21559463	-1.0	-1.0	-1.0	-1.0	92.74158597	0.0	6.0	1.0
1.0	0.61111111	1.0	0.61111111	0.0	-1.0	0.21559463	-1.0	-1.0	-1.0	-1.0	107.2676127	0.0	7.0	1.0
1.0	0.61111111	1.0	0.61111111	0.0	-1.0	0.21631795	-1.0	-1.0	-1.0	-1.0	120.59214735	0.0	8.0	1.0
1.0	0.83333333	1.0	0.83333333	0.0	-1.0	0.68657435	-1.0	-1.0	-1.0	-1.0	134.27846289	0.0	9.0	1.0
