train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.95092025	0.7027027	0.95035702	0.70735294	1.69517184	-1.0	0.41470588	-1.0	-1.0	-1.0	-1.0	12.12746	0.0	0.0	1.0
0.96625767	0.45945946	0.96556349	0.45588235	1.16542865	-1.0	-0.08823529	-1.0	-1.0	-1.0	-1.0	23.60279846	0.0	1.0	1.0
0.97239264	0.54054054	0.97209944	0.53088235	0.95353431	-1.0	0.06346757	-1.0	-1.0	-1.0	-1.0	35.22220564	0.0	2.0	1.0
0.96636086	0.63888889	0.96602434	0.63312693	1.16186709	-1.0	0.27266025	-1.0	-1.0	-1.0	-1.0	46.41847014	0.0	3.0	1.0
0.96636086	0.52777778	0.96523552	0.51857585	1.1618622	-1.0	0.03934447	-1.0	-1.0	-1.0	-1.0	56.52155256	0.0	4.0	1.0
0.95718654	0.66666667	0.95740365	0.6625387	1.47874393	-1.0	0.32917948	-1.0	-1.0	-1.0	-1.0	68.03615952	0.0	5.0	1.0
0.98470948	0.55555556	0.98366013	0.55727554	0.52811585	-1.0	0.11455108	-1.0	-1.0	-1.0	-1.0	78.90815878	0.0	6.0	1.0
0.97247706	0.5	0.97137706	0.50154799	0.95061342	-1.0	0.00309598	-1.0	-1.0	-1.0	-1.0	89.86699009	0.0	7.0	1.0
0.97247706	0.44444444	0.97137706	0.44582043	0.95061342	-1.0	-0.10835913	-1.0	-1.0	-1.0	-1.0	100.99435329	0.0	8.0	1.0
0.96636086	0.75	0.96562993	0.74767802	1.16186464	-1.0	0.4976726	-1.0	-1.0	-1.0	-1.0	113.7179563	0.0	9.0	1.0
