train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9601227	0.67567569	0.99644322	0.83823529	0.2469317	0.49231771	0.34387553	-1.0	-1.0	-1.0	-1.0	8.36447692	89.0	0.0	1.0
0.9447853	0.62162161	0.99475893	0.77647059	0.25406447	0.56793106	0.23027379	-1.0	-1.0	-1.0	-1.0	16.19734788	81.0	1.0	1.0
0.9417178	0.72972971	0.99207723	0.78529412	0.28453377	0.57579786	0.45747726	-1.0	-1.0	-1.0	-1.0	22.53844357	69.0	2.0	1.0
0.99388379	0.8611111	0.99992518	0.91021672	0.1784738	0.40096852	0.72920765	-1.0	-1.0	-1.0	-1.0	32.12660766	130.0	3.0	1.0
0.88685018	0.55555558	0.97358995	0.70278638	0.37479889	0.62255609	0.10345641	-1.0	-1.0	-1.0	-1.0	37.13501263	38.0	4.0	1.0
0.97859329	0.75	0.99885906	0.80185759	0.19132815	0.52546179	0.50093395	-1.0	-1.0	-1.0	-1.0	46.17087364	120.0	5.0	1.0
0.80428135	0.6111111	0.94147518	0.6996904	0.4831695	0.64141065	0.21631795	-1.0	-1.0	-1.0	-1.0	50.25236034	19.0	6.0	1.0
0.79204893	0.58333331	0.93272171	0.70278638	0.49562362	0.64504433	0.18388715	-1.0	-1.0	-1.0	-1.0	54.30446792	18.0	7.0	1.0
0.79204893	0.55555558	0.92555808	0.64396285	0.51954448	0.66967422	0.11455108	-1.0	-1.0	-1.0	-1.0	58.64486766	14.0	8.0	1.0
0.99694192	0.8888889	1.0	0.9628483	0.10927645	0.27629322	0.79943589	-1.0	-1.0	-1.0	-1.0	72.52172112	216.0	9.0	1.0
