train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.63496935	0.56756759	0.83001807	0.75294118	0.60059512	0.65156031	0.16018007	-1.0	-1.0	-1.0	-1.0	1.24479938	9.0	0.0	1.0
0.68098158	0.62162161	0.83560729	0.73823529	0.5927062	0.72980332	0.31684721	-1.0	-1.0	-1.0	-1.0	2.25007463	9.0	1.0	1.0
0.72699386	0.72972971	0.88382137	0.74411765	0.50764096	0.6968928	0.49565153	-1.0	-1.0	-1.0	-1.0	3.6363821	20.0	2.0	1.0
0.8440367	0.69444442	0.93539638	0.84210526	0.37366834	0.53226751	0.3867971	-1.0	-1.0	-1.0	-1.0	7.70400691	72.0	3.0	1.0
0.68195719	0.6111111	0.84259649	0.70278638	0.57928115	0.66461468	0.22600619	-1.0	-1.0	-1.0	-1.0	8.81714988	9.0	4.0	1.0
0.67584097	0.72222221	0.8307101	0.76470588	0.60263866	0.62398058	0.47945672	-1.0	-1.0	-1.0	-1.0	9.67703748	8.0	5.0	1.0
0.6880734	0.6388889	0.85218229	0.74303406	0.55790979	0.73353815	0.298024	-1.0	-1.0	-1.0	-1.0	10.94608426	12.0	6.0	1.0
0.67889911	0.47222221	0.83869671	0.58823529	0.58732361	1.03590846	-0.03450739	-1.0	-1.0	-1.0	-1.0	11.81789541	8.0	7.0	1.0
0.7033639	0.6111111	0.85743811	0.68421053	0.54534161	0.65709543	0.2351282	-1.0	-1.0	-1.0	-1.0	13.09888577	14.0	8.0	1.0
0.64525992	0.75	0.81368011	0.91640867	0.62512296	0.5627721	0.55082263	-1.0	-1.0	-1.0	-1.0	14.14114738	9.0	9.0	1.0
