filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.768	0.571	0.908	0.772	0.401	0.542	0.137	-1.0	-1.0	-1.0	-1.0	8.655	26.0	0	1
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.612	0.571	0.843	0.747	0.485	0.553	0.0	-1.0	-1.0	-1.0	-1.0	15.433	8.0	0	2
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.692	0.571	0.885	0.747	0.433	0.549	0.0	-1.0	-1.0	-1.0	-1.0	22.186	17.0	0	3
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.624	0.571	0.847	0.71	0.48	0.571	0.0	-1.0	-1.0	-1.0	-1.0	28.628	8.0	0	4
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.78	0.679	0.929	0.793	0.37	0.51	0.375	-1.0	-1.0	-1.0	-1.0	37.485	34.0	0	5
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.744	0.571	0.904	0.818	0.409	0.481	0.081	-1.0	-1.0	-1.0	-1.0	45.047	24.0	0	6
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.744	0.643	0.911	0.789	0.398	0.51	0.214	-1.0	-1.0	-1.0	-1.0	53.595	27.0	0	7
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.616	0.607	0.846	0.747	0.479	0.545	0.0	-1.0	-1.0	-1.0	-1.0	60.371	9.0	0	8
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.709	0.519	0.885	0.779	0.435	0.527	-0.233	-1.0	-1.0	-1.0	-1.0	67.242	17.0	0	9
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231214_192909c1.0di-1ch3dfc0.0file_sum_ok.txt	0.614	0.593	0.84	0.786	0.488	0.509	0.0	-1.0	-1.0	-1.0	-1.0	73.478	8.0	1	0
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.768	0.571	0.908	0.772	0.401	0.542	0.137	-1.0	-1.0	-1.0	-1.0	8.614	26.0	0	1
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.612	0.571	0.843	0.747	0.485	0.553	0.0	-1.0	-1.0	-1.0	-1.0	15.017	8.0	0	2
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.692	0.571	0.885	0.747	0.433	0.549	0.0	-1.0	-1.0	-1.0	-1.0	21.919	17.0	0	3
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.624	0.571	0.847	0.71	0.48	0.571	0.0	-1.0	-1.0	-1.0	-1.0	28.364	8.0	0	4
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.78	0.679	0.929	0.793	0.37	0.51	0.375	-1.0	-1.0	-1.0	-1.0	36.163	34.0	0	5
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.744	0.571	0.904	0.818	0.409	0.481	0.081	-1.0	-1.0	-1.0	-1.0	43.404	24.0	0	6
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.744	0.643	0.911	0.789	0.398	0.51	0.214	-1.0	-1.0	-1.0	-1.0	50.914	27.0	0	7
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.616	0.607	0.846	0.747	0.479	0.545	0.0	-1.0	-1.0	-1.0	-1.0	57.379	9.0	0	8
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.709	0.519	0.885	0.779	0.435	0.527	-0.233	-1.0	-1.0	-1.0	-1.0	64.148	17.0	0	9
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_diag/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231216_114656c1.0di-1ch3dfc0.0file_sum_ok.txt	0.614	0.593	0.84	0.786	0.488	0.509	0.0	-1.0	-1.0	-1.0	-1.0	70.477	8.0	1	0
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.768	0.571	0.908	0.772	0.401	0.542	0.137	-1.0	-1.0	-1.0	-1.0	8.055	26.0	0	1
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.612	0.571	0.843	0.747	0.485	0.553	0.0	-1.0	-1.0	-1.0	-1.0	14.584	8.0	0	2
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.692	0.571	0.885	0.747	0.433	0.549	0.0	-1.0	-1.0	-1.0	-1.0	21.476	17.0	0	3
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.624	0.571	0.847	0.71	0.48	0.571	0.0	-1.0	-1.0	-1.0	-1.0	28.122	8.0	0	4
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.78	0.679	0.929	0.793	0.37	0.51	0.375	-1.0	-1.0	-1.0	-1.0	35.913	34.0	0	5
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.744	0.571	0.904	0.818	0.409	0.481	0.081	-1.0	-1.0	-1.0	-1.0	43.557	24.0	0	6
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.744	0.643	0.911	0.789	0.398	0.51	0.214	-1.0	-1.0	-1.0	-1.0	51.039	27.0	0	7
results/Chatelier_gut_obesity_binGMM_nb10_aun_0.0_1.0_inipara_k-means++_covariance_typ_full/a1_estopc5_fc_o3adam_lr-1.0de0.0e500_20231215_152950c1.0di-1ch3dfc0.0file_sum_ok.txt	0.616	0.607	0.846	0.747	0.479	0.545	0.0	-1.0	-1.0	-1.0	-1.0	57.563	9.0	0	8
